I_values, Average E (milliseconds), e1, e2, e3, e4, e5, e6, e7, e8, e9, e10
50,103.6704047176815,102.76673135563634,104.40282954661244,103.65570205279441,103.71318920652038,103.84041337633207,103.83207276846382,104.08318592740116,103.18988789592731,103.53852692111612,103.68150812601091,103.6704047176815
500,127.45648233453842,126.49144422829495,127.74693726356668,129.10979965742885,127.62062817929188,126.42051133984774,128.69102238971237,126.76749527334094,128.08457649833946,126.34539154625645,127.28701696930491,127.45648233453842
1000,130.2993367706902,129.80476818036948,130.51256182408923,130.71497351222675,129.77277528203447,129.4797645479544,130.0864087489696,132.3088392727523,132.36841402735323,129.53125261381217,128.41360969734055,130.2993367706902
2500,131.92156648854302,128.87159564575373,129.97592297077594,129.70995620635273,134.06925810909905,133.2409352032629,133.44383823371837,133.87444311636153,131.53432629302583,133.08913382253593,131.40625528454427,131.92156648854302
5000,132.41000434578947,133.01011495505423,132.73635061351027,130.9714419824622,134.31383209614975,133.1628869955941,133.17765126838174,130.3752496058112,132.5293437704696,131.74426747083498,132.0789046996268,132.41000434578947
7500,133.2430624577818,134.40842639811123,133.30660301974228,134.0490059897258,134.56906050769078,131.75652868170374,132.13747400579047,134.86840038914215,133.50882624970387,132.8507283021401,130.97557103406757,133.2430624577818
10000,132.6107516011967,132.18387882441172,131.52352615274086,133.29278584572947,133.24556393505804,133.88616521967467,131.64047237638383,134.44002526629956,133.30640718386692,130.76046066193462,131.82823054586754,132.6107516011967
12500,133.43396439741872,132.20372802829448,133.12470300080415,132.29905628693584,133.7772562980778,131.76607760185115,133.18145521064366,134.7172011317439,135.36214781955087,132.8056671981863,135.1023513980993,133.43396439741872
15000,133.53219667872753,134.02952774240327,133.6836240096247,130.34855133550641,133.48749780640952,135.19660995383614,132.74097087628226,133.64511833649686,134.24615861321521,134.5267270310949,133.41718108240605,133.53219667872753
17500,133.4971691281071,131.72511670144632,134.463606691038,133.12026452061735,132.9791808611757,134.85201259741467,134.44890828246517,134.48143367519137,130.71203568116647,133.25189530787156,134.93723696268412,133.4971691281071
20000,133.37780229298943,134.06867671602538,132.6035650173523,132.85027548624728,133.53923835212385,131.4512381090122,133.92474839173235,133.6237729758839,134.88984022429088,132.62666190560785,134.20000575161856,133.37780229298943
30000,133.13537446111565,133.58136440373437,132.78638260825372,133.56022758255176,135.32080502232824,132.75417448849404,130.08637340556916,133.6512316841862,134.11182684962685,132.32394044663798,133.17741811977396,133.13537446111565
40000,133.23175996988672,132.86211879797924,134.28308590871166,133.28028650461314,131.98794758747079,132.959900119161,134.8704401816817,133.1126557815607,133.676095190476,133.30108308491018,131.98398654230274,133.23175996988672
50000,132.9048026671124,135.87358177777534,133.80844978478484,133.45973484555768,133.7007507518878,130.06575088827316,132.28560689322083,133.10028469018715,132.70953944106546,132.6905512375909,131.3537763607805,132.9048026671124
60000,134.44342385453248,137.29408692328983,132.55341127501185,132.3646152404406,136.8748542791938,131.63556748342333,134.56385670910396,135.33871797544123,133.4936827224811,136.11379357558553,134.20165236135384,134.44342385453248
70000,134.81421675713995,133.75855400640683,133.16256503976305,133.8201485295609,133.6972315748813,134.76534047753393,135.34310335760404,134.1897351723254,137.7371921489129,133.94263259159797,137.72566467281317,134.81421675713995
80000,136.38956698810864,139.26926896335738,135.91208534663022,134.8160266841705,135.31722064441604,136.1316209173153,136.71420364581306,136.84784924289295,136.15694093043507,137.0016389056062,135.72881460044985,136.38956698810864
90000,134.38831541226335,135.25603542247802,133.4736391284841,133.9915021440869,134.92828234935766,134.07858897667424,134.40509432518581,135.4645187755167,132.1701269644019,133.99951846561137,136.1158475708368,134.38831541226335
100000,133.5819240036933,135.17580111130744,132.44829923162231,133.06777433451427,133.70889262437996,131.66829719583023,134.97439197609324,131.48095245009546,134.13071039647573,135.2732354990717,133.8908852175428,133.5819240036933
200000,134.19987049472655,134.73980728893642,134.4232955003796,133.71113570232762,135.15440548093383,132.2891699279628,135.86228379699648,135.21519517600382,134.52901576336131,132.43171690632542,133.64267940403823,134.19987049472655
500000,132.92854817794804,132.3593412178823,130.65178512884577,133.2562759076002,134.04015835213474,135.10314748410408,133.76519010052837,131.94467466058418,132.32384401504845,133.59367166395228,132.24739324880005,132.92854817794804
