I_values, Average E (milliseconds), e1, e2, e3, e4, e5, e6, e7, e8, e9, e10
50,117.83011819913645,117.89684457188775,117.92103495905783,117.7957842408424,117.87319246219714,117.93012591605635,117.80345327491904,117.86855517076407,117.72164974883721,117.82544172226113,117.66509992454165,117.83011819913645
500,117.759122440683,117.722200637428,117.80883138310746,117.89146021474478,117.82451721565732,117.75969253918372,117.67389925417172,117.72941497950458,117.85230099854655,117.59424560585586,117.73466157863007,117.759122440683
1000,117.830186055276,117.51958085127377,117.88368681334042,117.56246710233614,118.12401355524625,117.69967202349657,117.8385185586817,118.12274902887498,117.67217919802042,118.04250441960967,117.83648900188027,117.830186055276
2500,117.83791325965322,117.87636080891019,117.67096501526757,117.8062004976052,117.8859168641556,117.91659536128324,117.80053967061355,117.77587382875583,117.87031977657864,117.89942555842075,117.87693521494162,117.83791325965322
5000,117.87749772182494,117.91944763703808,117.77263479438129,117.85951544672294,117.70668272425986,117.87625624805784,117.85571882019573,117.65611514248566,117.94475632035999,118.09403481277455,118.0898152719736,117.87749772182494
7500,117.79045988970867,117.89715820471773,117.56890110091919,117.67849547270346,117.7168543941819,117.80690676812287,117.77205807712578,117.8011541774152,117.78103492128118,118.03656922649729,117.84546655412224,117.79045988970867
10000,117.88172007162211,117.82222540503186,117.85674918248196,117.99988301775477,117.93034343568907,117.90568861227301,117.87471267714251,117.89063136903538,117.72935510201762,117.62701057251851,118.18060134227656,117.88172007162211
12500,117.85160299696543,117.87388979152682,117.83187366903286,117.69747458153182,118.01072044172514,117.62855158671967,118.08251603477963,117.76263347229023,118.01272213982386,117.73351713673344,117.88213111549086,117.85160299696543
15000,117.69474135361551,117.72252921690769,117.7146023900588,117.7745416794343,117.82297417847373,117.72105961203856,117.70725797751372,117.428809685339,117.60499743754627,117.82710173962218,117.62353961922106,117.69474135361551
17500,117.78592018765087,117.8088847666032,117.92084980932901,117.88828629127354,117.65912622904182,117.68445878556638,117.77507268365439,117.81805321997226,117.87502750989941,117.90336853517731,117.52607404599138,117.78592018765087
20000,117.91751789281957,117.7766670625723,117.79425602441185,117.90250877031073,117.73383741191807,117.86080429556907,117.94374688222246,117.98869673333927,117.90422135481536,118.0604633577037,118.20997703533298,117.91751789281957
30000,117.66206168709407,117.61512913858749,117.78598651020738,117.69616518575887,117.68453547856112,117.6831167385363,117.72270386537258,117.50130088876095,117.5965478810605,117.71926147348076,117.61586971061466,117.66206168709407
40000,117.77973456485404,117.66642361487975,117.78713276077366,117.80979232182703,117.57728999332845,117.91090120259733,117.84705524493243,117.82531628595953,117.95934535769018,117.72110842797127,117.69298043858062,117.77973456485404
50000,117.83837123342755,117.67174404251371,117.84870045953174,117.94389647880135,117.96178451728255,117.54613154308048,117.89000853824227,117.90515108145237,117.6902836248112,117.89594681970681,118.03006522885323,117.83837123342755
60000,117.37199921660874,117.31931597420818,117.2324145422532,117.57026066788094,117.32790330609038,117.29535331900243,117.38069627698108,117.56000644397398,117.30952302512644,117.37760275874669,117.34691585182416,117.37199921660874
70000,117.35834399105276,117.46131878969454,117.43675802573595,117.32551877316426,117.3376822341792,117.28003102983847,117.37420826064296,117.3873217441567,117.22122540734088,117.42295408047642,117.33642156529841,117.35834399105276
80000,116.89261325066536,116.86641263911226,116.86967392950201,116.88437154627843,116.76569664293845,116.86699773033496,116.76119580577044,116.82807291838259,116.94052353696576,116.88926114907659,117.25392660829226,116.89261325066536
90000,117.67877924487803,117.899816828632,117.97658858066538,117.70152677883831,117.4036965271273,117.6658153508552,117.54727103741172,117.48158666227562,117.67779757857532,117.82431506058045,117.60937804381877,117.67877924487803
100000,117.9545634569783,117.85909594910703,117.99659863996527,117.84444823931665,118.0169080782729,117.83056497100792,117.98015119279482,117.92572027204655,118.08068871570215,118.04676247316493,117.96469603840485,117.9545634569783
200000,117.86844812367967,118.06666824975852,117.74164619734174,117.95427371542907,118.0095000525536,117.59651767064862,117.74071800411826,117.93223425446486,117.81826564982467,117.96803031932093,117.85662712333655,117.86844812367967
1000000,117.80066293006082,117.93045177071885,117.78217224948476,117.74315030133874,117.91544035020333,117.78504728861662,117.74256690984424,117.66815375796334,117.89591352298153,117.6931013738212,117.85063177563572,117.80066293006082
